reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,globemed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Physical medium of globe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/globemed#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Material out of which the globe is made.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,globemed,http://marc21rdf.info/terms/globemed#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,globemed:a,1,,,paper,,,a,,,"Any kind of cellulose-based paper.",,,,,,,,,,,,,,,,,,,,,,,,
4120,globemed:b,1,,,wood,,,b,,,Wood.,,,"A material that is based on wood particles or fibers may or may not be considered wood. Consider particle board wood.",,,,,,,,,,,,,,,,,,,,,
4121,globemed:c,1,,,stone,,,c,,,Stone.,,,,,,,,,,,,,,,,,,,,,,,,
4122,globemed:d,1,,,metal,,,d,,,Metal.,,,,,,,,,,,,,,,,,,,,,,,,
4123,globemed:e,1,,,synthetic,,,e,,,"Man-made substances other than textiles, plastic, and vinyl.",,,,,,,,,,,,,,,,,,,,,,,,
4124,globemed:f,1,,,skin,,,f,,,Skin.,,,"Excludes leather, parchment, and vellum.",,,,,,,,,,,,,,,,,,,,,
4125,globemed:g,1,,,textile,,,g,,,Textile.,,,"Used for all fabrics, whether made from natural or synthetic fibers.",,,,,,,,,,,,,,,,,,,,,
4126,globemed:l,1,,,vinyl,,,l,,,"Physical medium other than paper, wood, stone, metal, synthetic, skin, textile, plaster.",,,,,,,,,,,,,,,,,,,,,,,,
4127,globemed:n,1,,,vellum,,,n,,,"Fine-grained unsplit lambskin, kidskin, or calfskin prepared especially for writing or drawing on.",,,,,,,,,,,,,,,,,,,,,,,,
4128,globemed:p,1,,,plaster,,,p,,,Plaster.,,,"Used for mixtures of ground solids and plaster.",,,,,,,,,,,,,,,,,,,,,
4129,globemed:u,1,,,unknown,,,u,,,"Physical medium of which the globe is made is not known.",,,,,,,,,,,,,,,,,,,,,,,,
4130,globemed:v,1,,,leather,,,v,,,"Animal skin dressed for use.",,,,,,,,,,,,,,,,,,,,,,,,
4131,globemed:w,1,,,parchment,,,w,,,"Skin of a sheep or goat prepared for writing on.",,,,,,,,,,,,,,,,,,,,,,,,
4132,globemed:z,1,,,other,,,z,,,"Physical medium other than paper, wood, stone, metal, synthetic, skin, textile, vinyl, vellum, plaster, leather, parchment.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
