reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,motionpicturedet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Deterioration stage of motion picture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/motionpicturedet#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Level of deterioration of the motion picture film.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,motionpicturedet,http://marc21rdf.info/terms/motionpicturedet#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3632,motionpicturedet:a,1,,,"none apparent",,,a,,,"No deterioration is apparent on either nitrate or non-nitrate motion picture film.",,,,,,,,,,,,,,,,,,,,,,,,
3633,motionpicturedet:b,1,,,"nitrate: suspicious odor",,,b,,,"Deterioration of nitrate materials characterized as suspicious odor.",,,,,,,,,,,,,,,,,,,,,,,,
3634,motionpicturedet:c,1,,,"nitrate: pungent odor",,,c,,,"Deterioration of nitrate materials characterized as pungent odor.",,,,,,,,,,,,,,,,,,,,,,,,
3635,motionpicturedet:d,1,,,"nitrate: brownish, discoloration, fading, dusty",,,d,,,"Deterioration of nitrate materials characterized as brownish, discoloration, fading, dusty.",,,,,,,,,,,,,,,,,,,,,,,,
3636,motionpicturedet:e,1,,,"nitrate: sticky",,,e,,,"Deterioration of nitrate materials characterized as sticky.",,,,,,,,,,,,,,,,,,,,,,,,
3637,motionpicturedet:f,1,,,"nitrate: frothy, bubbles, blisters",,,f,,,"Deterioration of nitrate materials characterized as frothy, bubbles, blisters.",,,,,,,,,,,,,,,,,,,,,,,,
3638,motionpicturedet:g,1,,,"nitrate: congealed",,,g,,,"Deterioration of nitrate materials characterized as congealed.",,,,,,,,,,,,,,,,,,,,,,,,
3639,motionpicturedet:h,1,,,"nitrate: powder",,,h,,,"Deterioration of nitrate materials characterized as powder.",,,,,,,,,,,,,,,,,,,,,,,,
3640,motionpicturedet:k,1,,,"non-nitrate: detectable deterioration",,,k,,,"Deterioration of non-nitrate materials (safety film, etc.) characterized as detectable deterioration.",,,,,,,,,,,,,,,,,,,,,,,,
3641,motionpicturedet:l,1,,,"non-nitrate: advanced deterioration",,,l,,,"Deterioration of non-nitrate materials (safety film, etc.) characterized as advanced deterioration.",,,,,,,,,,,,,,,,,,,,,,,,
3642,motionpicturedet:m,1,,,"non-nitrate: disaster",,,m,,,"Deterioration of non-nitrate materials (safety film, etc.) characterized as disaster.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
