reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,nonprojectedcol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Color characteristics of the nonprojected graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/nonprojectedcol#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Color characteristics of the nonprojected graphic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,nonprojectedcol,http://marc21rdf.info/terms/nonprojectedcol#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3546,nonprojectedcol:a,1,,,"one color",,,a,,,"Printed or executed in a single color.",,,"Used for monochrome art works. It is not used with photographic materials. Does not include black.",,,,,,,,,,,,,,,,,,,,,
3547,nonprojectedcol:b,1,,,black-and-white,,,b,,,"Printed or executed in black-and-white.",,,"Refers to monochrome photographic materials executed in black-and-white.",,,,,,,,,,,,,,,,,,,,,
3548,nonprojectedcol:c,1,,,multicolored,,,c,,,"Printed or executed in more than one color.",,,"Used for color photographic processes.",,,,,,,,,,,,,,,,,,,,,
3549,nonprojectedcol:h,1,,,"hand colored",,,h,,,"Image, produced by a printing or photographic process, is hand colored.",,,"Rarely used with commercial visual materials since these are not typically issued with hand coloring.",,,,,,,,,,,,,,,,,,,,,
3550,nonprojectedcol:n,1,,,mixed,,,n,,,"Work or collection is a combination of one color, black-and-white, multicolored, hand colored, and/or other images.",,,,,,,,,,,,,,,,,,,,,,,,
3551,nonprojectedcol:u,1,,,unknown,,,u,,,"Color characteristics of the item are not known.",,,,,,,,,,,,,,,,,,,,,,,,
3552,nonprojectedcol:z,1,,,other,,,z,,,"Color other than one color, black-and-white, multicolored, hand colored, mixed.",,,"Includes stained, tinted, or toned items(e.g., sepia toned photographic items).",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
