reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,soundrecordingcap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Capture and storage technique of sound recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/soundrecordingcap#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"How the sound was originally captured and stored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,soundrecordingcap,http://marc21rdf.info/terms/soundrecordingcap#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,soundrecordingcap:a,1,,,"acoustical capture, direct storage",,,a,,,"Usually a disc or cylinder recording, captured using an acoustical horn and diaphragm and stored directly on a master surface.",,,"Most acoustical recordings date from before 1927/29 when electrical recording equipment became available.",,,,,,,,,,,,,,,,,,,,,
3480,soundrecordingcap:b,1,,,"direct storage, not acoustical",,,b,,,"Disc recordings captured using electrical equipment and stored directly on a master surface.",,,"All recordings made with microphones and other electrical equipment prior to the availability of magnetic recording techniques in the late 1940s used direct storage. Commercial recordings marked ""direct to disc"" or some equivalent phrase also use this technique.",,,,,,,,,,,,,,,,,,,,,
3481,soundrecordingcap:d,1,,,"digital storage",,,d,,,"Sound recordings which were captured electrically and stored using digital techniques.",,,"Such recordings are normally identified as ""digitally recorded"" or some similar phrase on the label or package. ""Digital remaster"" or ""digital mixing"" does not imply original digital storage. Note: Digital storage and digital playback should not be confused.",,,,,,,,,,,,,,,,,,,,,
3482,soundrecordingcap:e,1,,,"analog electrical storage",,,e,,,"Sound recordings which were captured using electrical techniques and stored as modulations and pulses on a magnetic surface.",,,"Most recordings made from the late 1940s until early 1980s are analog electrical recordings.",,,,,,,,,,,,,,,,,,,,,
3483,soundrecordingcap:u,1,,,unknown,,,u,,,"Capture and storage technique are not known.",,,,,,,,,,,,,,,,,,,,,,,,
3484,soundrecordingcap:z,1,,,other,,,z,,,"Capture and storage technique other than acoustical capture, direct storage, direct storage, not acoustical, digital storage, analog electrical storage.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
