reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,soundrecordingspd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-007: Playback speed of sound recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/soundrecordingspd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Playback speed of the sound recording.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,soundrecordingspd,http://marc21rdf.info/terms/soundrecordingspd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,soundrecordingspd:a,1,,,"16 rpm",,,a,,,"16 rpm.",,,"Used for discs.",,,,,,,,,,,,,,,,,,,,,
4512,soundrecordingspd:b,1,,,"33 1/3 rpm",,,b,,,"33 1/3 rpm.",,,"Used for discs.",,,,,,,,,,,,,,,,,,,,,
4513,soundrecordingspd:c,1,,,"45 rpm",,,c,,,"45 rpm.",,,"Used for discs.",,,,,,,,,,,,,,,,,,,,,
4514,soundrecordingspd:d,1,,,"78 rpm",,,d,,,"78 rpm.",,,"Used for discs.",,,,,,,,,,,,,,,,,,,,,
4515,soundrecordingspd:e,1,,,"8 rpm",,,e,,,"8 rpm.",,,"Used for discs.",,,,,,,,,,,,,,,,,,,,,
4516,soundrecordingspd:f,1,,,"1.4 m. per second",,,f,,,"1.4 m. per second. Speed is calculated from the distance the playback mechanism covers on the surface of the disc per second, and not the number of revolutions of the disc.",,,"Associated with compact discs (CDs).",,,,,,,,,,,,,,,,,,,,,
4517,soundrecordingspd:h,1,,,"120 rpm",,,h,,,"120 rpm.",,,"Used for cylinders.",,,,,,,,,,,,,,,,,,,,,
4518,soundrecordingspd:i,1,,,"160 rpm",,,i,,,"160 rpm.",,,"Used for cylinders.",,,,,,,,,,,,,,,,,,,,,
4519,soundrecordingspd:k,1,,,"15/16 ips",,,k,,,"15/16 ips.",,,"For example, on half-speed mini-cassettes used in small portable recorders.",,,,,,,,,,,,,,,,,,,,,
4520,soundrecordingspd:l,1,,,"1 7/8 ips",,,l,,,"1 7/8 ips.",,,"For example, on standard cassettes.",,,,,,,,,,,,,,,,,,,,,
4521,soundrecordingspd:m,1,,,"3 3/4 ips",,,m,,,"3 3/4 ips.",,,"For example, on consumer and nonprofessional reel-to-reel tapes, cartridges and very unusual cassette tapes.",,,,,,,,,,,,,,,,,,,,,
