reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,alltyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Type of date or publication status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/alltyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,alltyp,http://marc21rdf.info/terms/alltyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4594,alltyp:b,1,,,"no dates given; b.c. date involved",,,b,,,"One or more dates associated with the item are Before Common Era (B.C.) dates.",,,,,,,,,,,,,,,,,,,,,,,,
4595,alltyp:c,1,,,"actual date and copyright date [obsolete]",,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,
4596,alltyp:d,1,,,"continuing resource ceased publication",,,d,,,"New issues of a continuing resource have ceased to be published or that a change in author or title has caused a successive entry record to be created. When a new title supersedes a previously existing one, the earlier title is considered dead and coded d in field 008/06. An item is considered to have ceased publication only when there is clear evidence that it has. Generally, a period of more than three years during which no new issue of a continuing resource has been published is considered evidence that it has ceased publication.",,,,,,,,,,,,,,,,,,,,,,,,
4597,alltyp:e,1,,,"detailed date",,,e,,,"Detailed date which contains the month (and possibly the day) in addition to the year is present. For visual materials, this code may be used with televised material to give the date of the original broadcast.",,,,,,,,,,,,,,,,,,,,,,,,
4598,alltyp:i,1,,,"inclusive dates of collection",,,i,,,"Inclusive dates applicable to a collection. If the inclusive dates are represented by a single year, that date is given in both places.",,,,,,,,,,,,,,,,,,,,,,,,
4599,alltyp:k,1,,,"range of years of bulk of collection",,,k,,,"The range of years applicable to most of the material in a collection. If the bulk dates are represented by only a single year, that date is given in both places.",,,,,,,,,,,,,,,,,,,,,,,,
4600,alltyp:m,1,,,"multiple dates",,,m,,,"The range of years of publication of a multipart item, excluding the case when both dates for a multipart item are represented by a single year.",,,,,,,,,,,,,,,,,,,,,,,,
4601,alltyp:n,1,,,"dates unknown",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
