reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,computertyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Type of computer file",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/computertyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the type of computer file described in the bibliographic record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,computertyp,http://marc21rdf.info/terms/computertyp#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4574,computertyp:a,1,,,"numeric data",,,a,,,"Mostly numbers or representation by numbers, such as records containing all information on student test scores, all information on football team statistics, etc. Information may be original surveys and/or information that has been summarized or statistically manipulated.",,,,,,,,,,,,,,,,,,,,,,,,
4575,computertyp:b,1,,,"computer program",,,b,,,"Ordered set of instructions directing the computer to perform basic operations and identifying the information and mechanisms required. Includes videogames and microcomputer software and computer models.",,,"Not used for game, font.",,,,,,,,,,,,,,,,,,,,,
4576,computertyp:c,1,,,representational,,,c,,,"Pictorial or graphic information that can be manipulated in conjunction with other types of files to produce graphic patterns that can be used to interpret and give meaning to the information.",,,"Does not include a document in image format.",,,,,,,,,,,,,,,,,,,,,
4577,computertyp:d,1,,,document,,,d,,,"Textual, consisting mostly of alphabetic information (words or sentences) converted into a coded format that can be processed, sorted, and manipulated by machine, and then retrieved in many optional formats.",,,"Includes language material intended to constitute a textual document, whether represented as ASCII or image data. Includes both single bibliographic entities or a collection of bibliographic entities. Includes documents whose primary purpose is textual, even if search software is present.",,,,,,,,,,,,,,,,,,,,,
4578,computertyp:e,1,,,"bibliographic data",,,e,,,"Data with bibliographic citations.",,,"Includes data from library catalogs or citation databases. The data may be in a structured or unstructured form. Search software may be present, but the purpose of the record is description of the content of the bibliographic data or database, rather than description of the online system or service.",,,,,,,,,,,,,,,,,,,,,
4579,computertyp:f,1,,,font,,,f,,,"Information for a computer to produce fonts.",,,,,,,,,,,,,,,,,,,,,,,,
4580,computertyp:g,1,,,game,,,g,,,"Intended for recreational or educational use. Generally games consist of text and software.",,,"Used for a videogame.",,,,,,,,,,,,,,,,,,,,,
4581,computertyp:h,1,,,sound,,,h,,,"Data encoding sounds producible by the computer.",,,,,,,,,,,,,,,,,,,,,,,,
4582,computertyp:i,1,,,"interactive multimedia",,,i,,,"Supports navigation through and manipulation of many kinds of media (i.e., audio, video, etc.). Interactive multimedia usually gives the user a high level of control, often allowing almost conversational interaction with the computer and data.",,,,,,,,,,,,,,,,,,,,,,,,
4583,computertyp:j,1,,,"online system or service",,,j,,,"Supports system-based user interaction.",,,"May contain nonbibliographic information. Examples are: online library systems (consisting of a variety of databases), FTP sites, electronic bulletin boards, network information centers.",,,,,,,,,,,,,,,,,,,,,
4584,computertyp:m,1,,,combination,,,m,,,"Combination of two or more types of files.",,,,,,,,,,,,,,,,,,,,,,,,
4585,computertyp:u,1,,,unknown,,,u,,,"Type of file is unknown.",,,,,,,,,,,,,,,,,,,,,,,,
4586,computertyp:z,1,,,other,,,z,,,"Type of computer file other than numeric data, computer program, representational, document, bibliographic data, font, game, sound, interactive multimedia, online system or service, combination.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
