reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,continuingscr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Original alphabet or script of title of continuing resource",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/continuingscr#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"the original alphabet or script of the language of the title on the source item upon which the key title is based.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,continuingscr,http://marc21rdf.info/terms/continuingscr#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,continuingscr:%23,1,,,"no alphabet or script given/no key title",,,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,continuingscr:a,1,,,"basic roman",,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,continuingscr:b,1,,,"extended roman",,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,continuingscr:c,1,,,cyrillic,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,continuingscr:d,1,,,japanese,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,continuingscr:e,1,,,chinese,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
4110,continuingscr:f,1,,,arabic,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,continuingscr:g,1,,,greek,,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,continuingscr:h,1,,,hebrew,,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,continuingscr:i,1,,,thai,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,,
4114,continuingscr:j,1,,,devanagari,,,j,,,,,,,,,,,,,,,,,,,,,,,,,,,
4115,continuingscr:k,1,,,korean,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116,continuingscr:l,1,,,tamil,,,l,,,,,,,,,,,,,,,,,,,,,,,,,,,
4117,continuingscr:u,1,,,unknown,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,
4118,continuingscr:z,1,,,other,,,z,,,"Original alphabet or script of title other than basic Roman, extended Roman, cyrillic, Japanese, Chinese, Arabic, Greek, Hebrew, Thai, Devanagari,Korean, Tamil.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
