reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,mappro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Projection of map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/mappro#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the projection used in producing the item.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,mappro,http://marc21rdf.info/terms/mappro#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,mappro:%23%23,1,,,"projection not specified",,,##,,,"Projection not specified.",,,"Used for most globes.",,,,,,,,,,,,,,,,,,,,,
4221,mappro:aa,1,,,Aitoff,,,aa,,,Aitoff.,,,,,,,,,,,,,,,,,,,,,,,,
4222,mappro:ab,1,,,Gnomic,,,ab,,,Gnomic.,,,,,,,,,,,,,,,,,,,,,,,,
4223,mappro:ac,1,,,"Lambert's azimuthal equal area",,,ac,,,"Lambert's azimuthal equal area.",,,,,,,,,,,,,,,,,,,,,,,,
4224,mappro:ad,1,,,orthographic,,,ad,,,Orthographic.,,,,,,,,,,,,,,,,,,,,,,,,
4225,mappro:ae,1,,,"azimuthal equidistant",,,ae,,,"Azimuthal equidistant.",,,,,,,,,,,,,,,,,,,,,,,,
4226,mappro:af,1,,,stereographic,,,af,,,Stereographic.,,,,,,,,,,,,,,,,,,,,,,,,
4227,mappro:ag,1,,,"general vertical near-sided",,,ag,,,"General vertical near-sided.",,,,,,,,,,,,,,,,,,,,,,,,
4228,mappro:am,1,,,"modified stereographic for Alaska",,,am,,,"Modified stereographic for Alaska.",,,,,,,,,,,,,,,,,,,,,,,,
4229,mappro:an,1,,,"Chamberlin trimetric",,,an,,,"Chamberlin trimetric.",,,,,,,,,,,,,,,,,,,,,,,,
4230,mappro:ap,1,,,"polar stereographic",,,ap,,,"Polar stereographic.",,,,,,,,,,,,,,,,,,,,,,,,
4231,mappro:au,1,,,"azimuthal, specific type unknown",,,au,,,"Azimuthal, specific type unknown. Only the projection type (azimuthal) is known, not the specific projection.",,,,,,,,,,,,,,,,,,,,,,,,
4232,mappro:az,1,,,"azimuthal, other",,,az,,,"Azimuthal, other.",,,,,,,,,,,,,,,,,,,,,,,,
4233,mappro:ba,1,,,Gall,,,ba,,,Gall.,,,,,,,,,,,,,,,,,,,,,,,,
