reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,maprel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Relief of map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/maprel#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicate the relief type specified on the item.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,maprel,http://marc21rdf.info/terms/maprel#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4307,maprel:%23,1,,,"no relief shown",,,#,,,"No relief shown.",,,,,,,,,,,,,,,,,,,,,,,,
4308,maprel:a,1,,,contours,,,a,,,"Relief shown by contours.",,,,,,,,,,,,,,,,,,,,,,,,
4309,maprel:b,1,,,shading,,,b,,,"Relief shown by shading (generally of a single color).",,,,,,,,,,,,,,,,,,,,,,,,
4310,maprel:c,1,,,"gradient and bathymetric tints",,,c,,,"Relief shown by gradient or bathymetric tints.",,,,,,,,,,,,,,,,,,,,,,,,
4311,maprel:d,1,,,hachures,,,d,,,"Relief shown by hachures (short lines which follow the direction of maximum slope).",,,,,,,,,,,,,,,,,,,,,,,,
4312,maprel:e,1,,,"bathymetry by soundings",,,e,,,"Underwater relief (depth) shown by soundings or spot depths.",,,,,,,,,,,,,,,,,,,,,,,,
4313,maprel:f,1,,,"form lines",,,f,,,"Relief shown by form lines.",,,,,,,,,,,,,,,,,,,,,,,,
4314,maprel:g,1,,,"spot heights",,,g,,,"Relief shown by spot heights.",,,,,,,,,,,,,,,,,,,,,,,,
4315,maprel:hx,1,,,"color [obsolete]",,,h,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316,maprel:i,1,,,pictorially,,,i,,,"Land forms and other topographic features shown in the correct planimetric position by pictorial symbols representing their appearance from a high oblique view.",,,,,,,,,,,,,,,,,,,,,,,,
4317,maprel:j,1,,,"land forms",,,j,,,"Relief shown by land forms.",,,,,,,,,,,,,,,,,,,,,,,,
4318,maprel:k,1,,,"bathymetry by isolines",,,k,,,"Underwater relief (depth) shown by isolines (lines that represent constant depths).",,,,,,,,,,,,,,,,,,,,,,,,
4319,maprel:m,1,,,"rock drawings",,,m,,,"Relief rock drawing.",,,,,,,,,,,,,,,,,,,,,,,,
4320,maprel:z,1,,,other,,,z,,,"Relief other than contours, shading, gradient and bathymetric tints, hachures, bathymetry by soundings, form lines, spot heights, pictorially, land forms, bathymetry by isolines, rock drawings.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
