reg_id,uri,status,name,"lexicalAlias (en)","preferred label (en)","alternative label (en)","hidden label (en)","notation (en)","ToolkitLabel (en)","note (en)","definition (en)","ToolkitDefinition (en)","example (en)","scope note (en)","editorial note (en)","change note (en)","history note (en)","has broader","has narrower","related to","is in mapping relation with","has broader match","has narrower match","has related match","has close match","has exact match","top concept of","has subject","is subject of","is primary subject of","has primary subject","subject indicator","symbolic label","preferred symbolic label","alternative symbolic label"
uri,reg:uri,reg:status,reg:name,reg:lexicalAlias,skos:prefLabel,skos:altLabel,skos:hiddenLabel,skos:notation,rdakit:toolkitLabel,skos:note,skos:definition,rdakit:toolkitDefinition,skos:example,skos:scopeNote,skos:editorialNote,skos:changeNote,skos:historyNote,skos:broader,skos:narrower,skos:related,skos:mappingRelation,skos:broadMatch,skos:narrowMatch,skos:relatedMatch,skos:closeMatch,skos:exactMatch,skos:topConceptOf,skos:subject,skos:isSubjectOf,skos:isPrimarySubjectOf,skos:primarySubject,skos:subjectIndicator,skos:symbol,skos:prefSymbol,skos:altSymbol
lang,en,,,en,en,en,en,en,en,en,en,en,en,en,en,en,en,,,,,,,,,,,,,,,,,,
type,uri,property,property,,,,,,,,,,,,,,,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
meta,token,musicacc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,label,"MARC21-008: Accompanying matter for music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,vocabulary_id,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,uri,http://marc21rdf.info/terms/musicacc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,note,"Indicates the contents of program notes and other accompanying material for sound recording, music manuscripts, or notated music.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,tags,"Libraries, MARC21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,base_domain,http://marc21rdf.info/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,type,vocabulary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta,agent_id,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,musicacc,http://marc21rdf.info/terms/musicacc#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,owl,http://www.w3.org/2002/07/owl#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,rdfs,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,reg,http://metadataregistry.org/uri/profile/RegAp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefix,skos,http://www.w3.org/2004/02/skos/core#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,musicacc:%23,1,,,"no accompanying matter",,,#,,,"No accompanying matter or no indication of accompanying matter appears on the item.",,,,,,,,,,,,,,,,,,,,,,,,
3395,musicacc:a,1,,,discography,,,a,,,"Discography or other bibliography of recorded sound.",,,,,,,,,,,,,,,,,,,,,,,,
3396,musicacc:b,1,,,bibliography,,,b,,,Bibliography.,,,,,,,,,,,,,,,,,,,,,,,,
3397,musicacc:c,1,,,"thematic index",,,c,,,"Thematic index.",,,,,,,,,,,,,,,,,,,,,,,,
3398,musicacc:d,1,,,"libretto or text",,,d,,,"Printed transcription of the libretto or other text (e.g., a transcript of verbal contents of a sound recording).",,,,,,,,,,,,,,,,,,,,,,,,
3399,musicacc:e,1,,,"biography of composer or author",,,e,,,"Significant biographical information on a composer or author.",,,,,,,,,,,,,,,,,,,,,,,,
3400,musicacc:f,1,,,"biography of performer or history of ensemble",,,f,,,"Significant biographical information on a performer or a history of an ensemble.",,,,,,,,,,,,,,,,,,,,,,,,
3401,musicacc:g,1,,,"technical and/or historical information on instruments",,,g,,,"Technical and/or historical information on instruments.",,,,,,,,,,,,,,,,,,,,,,,,
3402,musicacc:h,1,,,"technical information on music",,,h,,,"Significant technical information.",,,"Including instructions for performance.",,,,,,,,,,,,,,,,,,,,,
3403,musicacc:i,1,,,"historical information",,,i,,,"Significant historical information.",,,,,,,,,,,,,,,,,,,,,,,,
3404,musicacc:jx,1,,,"historical information other than music [obsolete]",,,j,,,,,,,,,,,,,,,,,,,,,,,,,,,
3405,musicacc:k,1,,,"ethnological information",,,k,,,"Significant ethnological information that relates to the musical part of the item.",,,,,,,,,,,,,,,,,,,,,,,,
3406,musicacc:nx,1,,,"not applicable [obsolete]",,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
3407,musicacc:r,1,,,"instructional materials",,,r,,,"Instructional materials.",,,,,,,,,,,,,,,,,,,,,,,,
3408,musicacc:s,1,,,music,,,s,,,"A score or other music format than that of the main item.",,,,,,,,,,,,,,,,,,,,,,,,
3409,musicacc:z,1,,,other,,,z,,,"Accompanying matter other than discography, bibliography, thematic index, libretto or text, biography of composer or author, biography of performer or history of ensemble, technical and/or historical information on instruments, technical information on music, historical information, ethnological information
instructional materials, music.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
